link,title,date
https://press.comune.fi.it/it/comunicato/461229,"Incendio via Nicolodi, la scuola Dino Compagni nei locali della Carducci fino al termine delle vacanze di Natale",2017-12-07
https://press.comune.fi.it/it/comunicato/461228,Concerti corali al quartiere 4 lungo le fermate della tramvia,2017-12-07
https://press.comune.fi.it/it/comunicato/461227,Area attrezzata per lo skateboarding all'Isolotto,2017-12-07
https://press.comune.fi.it/it/comunicato/461226,"Oktagon-Bellator torna a Firenze, sabato 9 dicembre al Mandela Forum lo show di kickboxing e Mma",2017-12-07
https://press.comune.fi.it/it/comunicato/461225,"Viadotto dell'Indiano, domenica 10 dicembre chiuso il tratto tra le rampe di viale degli Astronauti e via Pistoiese verso l'Isolotto",2017-12-07
https://press.comune.fi.it/it/comunicato/461224,Nessun aumento di tasse ai fiorentini e maggiori servizi: via libera in giunta al bilancio di previsione 2018/2020,2017-12-07
https://press.comune.fi.it/it/comunicato/461223,"F-Light Festival, Torselli e Donzelli (FdI): ""Mentre Nardella proietta i dati sulle migrazioni, proietteremo quelli sui milioni di Euro guadagnati grazie al business dell'accoglienza""",2017-12-07
https://press.comune.fi.it/it/comunicato/461222,"Piazza della Vittoria, Cellai, Castelnuovo Tedesco e Mannelli: ""Sia vero percorso di partecipazione""",2017-12-07
https://press.comune.fi.it/it/comunicato/461221,Al via domani il Mercatino di Natale A.T.T. all'Hotel Albani,2017-12-07
https://press.comune.fi.it/it/comunicato/461220,A Firenze sindaco e assessori diventano artigiani per un giorno,2017-12-07
https://press.comune.fi.it/it/comunicato/461219,"Eppure Esiste! Le iniziative della società civile per il riconoscimento dello stato palestinese con conferenza finale sabato 9 dicembre nel salone dei Cinquecento dalle 9,30 alle 17,30",2017-12-07
https://press.comune.fi.it/it/comunicato/461218,"Moschea, Amato (AL): ""Firenze scarica le responsabilità per fini elettorali. Il Comune di Sesto ha avuto quel coraggio che è mancato alla nostra città""",2017-12-07
https://press.comune.fi.it/it/comunicato/461217,Trovato con una prostituta sull'auto del datore di lavoro: denunciato,2017-12-07
https://press.comune.fi.it/it/comunicato/461216,"Vento forte, domani allerta gialla a Firenze",2017-12-07
https://press.comune.fi.it/it/comunicato/461215,"Capodanno, Ermal Meta, Morgan, Raphael Gualazzi per il concertone pop al Piazzale Michelangelo",2017-12-07
https://press.comune.fi.it/it/comunicato/461214,"Rimosse le impronte di Gramsci, Grassi e Verdi: ""Non preoccupa tanto l'incidente diplomatico, quanto le allucinanti dichiarazioni della Assessora Bettini. Paghi lei i lavori per le nuove impronte""",2017-12-07
